Year,Exchange_Rate,Currency
2000,0.55,Australian dollar   (AUD)                     
2001,0.56,Australian dollar   (AUD)                     
2002,0.57,Australian dollar   (AUD)                     
2003,0.75,Australian dollar   (AUD)                     
2004,0.78,Australian dollar   (AUD)                     
2005,0.73,Australian dollar   (AUD)                     
2006,0.79,Australian dollar   (AUD)                     
2007,0.88,Australian dollar   (AUD)                     
2008,0.69,Australian dollar   (AUD)                     
2009,0.90,Australian dollar   (AUD)                     
2010,1.02,Australian dollar   (AUD)                     
2011,1.02,Australian dollar   (AUD)                     
2012,1.04,Australian dollar   (AUD)                     
2013,0.89,Australian dollar   (AUD)                     
2014,0.82,Australian dollar   (AUD)                     
2015,0.73,Australian dollar   (AUD)                     
2016,0.72,Australian dollar   (AUD)                     
2017,0.78,Australian dollar   (AUD)                     
2018,0.71,Australian dollar   (AUD)                     
2019,0.73,Australian dollar   (AUD)                     
2020,0.76,Australian dollar   (AUD)                     
2000,0.19,Botswana pula   (BWP)                     
2001,0.21,Botswana pula   (BWP)                     
2002,0.21,Botswana pula   (BWP)                     
2003,0.23,Botswana pula   (BWP)                     
2004,0.20,Botswana pula   (BWP)                     
2005,0.18,Botswana pula   (BWP)                     
2006,0.17,Botswana pula   (BWP)                     
2007,0.17,Botswana pula   (BWP)                     
2008,0.13,Botswana pula   (BWP)                     
2009,0.15,Botswana pula   (BWP)                     
2010,0.15,Botswana pula   (BWP)                     
2011,0.13,Botswana pula   (BWP)                     
2012,0.13,Botswana pula   (BWP)                     
2013,0.11,Botswana pula   (BWP)                     
2014,0.11,Botswana pula   (BWP)                     
2015,0.09,Botswana pula   (BWP)                     
2016,0.09,Botswana pula   (BWP)                     
2017,0.10,Botswana pula   (BWP)                     
2018,0.09,Botswana pula   (BWP)                     
2019,0.09,Botswana pula   (BWP)                     
2020,0.09,Botswana pula   (BWP)                     
2000,1.95,Brazilian real   (BRL)                     
2001,2.32,Brazilian real   (BRL)                     
2002,3.53,Brazilian real   (BRL)                     
2003,2.89,Brazilian real   (BRL)                     
2004,2.65,Brazilian real   (BRL)                     
2005,2.34,Brazilian real   (BRL)                     
2006,2.14,Brazilian real   (BRL)                     
2007,1.77,Brazilian real   (BRL)                     
2008,1.76,Brazilian real   (BRL)                     
2009,1.74,Brazilian real   (BRL)                     
2010,1.89,Brazilian real   (BRL)                     
2011,1.89,Brazilian real   (BRL)                     
2012,2.05,Brazilian real   (BRL)                     
2013,2.35,Brazilian real   (BRL)                     
2014,2.66,Brazilian real   (BRL)                     
2015,3.90,Brazilian real   (BRL)                     
2016,3.26,Brazilian real   (BRL)                     
2017,3.31,Brazilian real   (BRL)                     
2018,3.87,Brazilian real   (BRL)                     
2019,4.03,Brazilian real   (BRL)                     
2020,5.17,Brazilian real   (BRL)                     
2000,1.73,Brunei dollar   (BND)                     
2001,1.85,Brunei dollar   (BND)                     
2002,1.74,Brunei dollar   (BND)                     
2003,1.70,Brunei dollar   (BND)                     
2004,1.63,Brunei dollar   (BND)                     
2005,1.66,Brunei dollar   (BND)                     
2006,1.53,Brunei dollar   (BND)                     
2007,1.44,Brunei dollar   (BND)                     
2008,1.44,Brunei dollar   (BND)                     
2009,1.40,Brunei dollar   (BND)                     
2010,1.29,Brunei dollar   (BND)                     
2011,1.30,Brunei dollar   (BND)                     
2012,1.22,Brunei dollar   (BND)                     
2013,1.27,Brunei dollar   (BND)                     
2014,1.32,Brunei dollar   (BND)                     
2015,1.41,Brunei dollar   (BND)                     
2016,1.45,Brunei dollar   (BND)                     
2017,1.34,Brunei dollar   (BND)                     
2018,1.37,Brunei dollar   (BND)                     
2019,1.35,Brunei dollar   (BND)                     
2020,1.34,Brunei dollar   (BND)                     
2000,1.50,Canadian dollar   (CAD)                     
2001,1.59,Canadian dollar   (CAD)                     
2002,1.58,Canadian dollar   (CAD)                     
2003,1.29,Canadian dollar   (CAD)                     
2004,1.20,Canadian dollar   (CAD)                     
2005,1.18,Canadian dollar   (CAD)                     
2006,1.17,Canadian dollar   (CAD)                     
2007,0.99,Canadian dollar   (CAD)                     
2008,1.22,Canadian dollar   (CAD)                     
2009,1.05,Canadian dollar   (CAD)                     
2010,1.00,Canadian dollar   (CAD)                     
2011,1.00,Canadian dollar   (CAD)                     
2012,1.00,Canadian dollar   (CAD)                     
2013,1.06,Canadian dollar   (CAD)                     
2014,1.16,Canadian dollar   (CAD)                     
2015,1.38,Canadian dollar   (CAD)                     
2016,1.34,Canadian dollar   (CAD)                     
2017,1.32,Canadian dollar   (CAD)                     
2018,1.32,Canadian dollar   (CAD)                     
2019,1.31,Canadian dollar   (CAD)                     
2020,1.29,Canadian dollar   (CAD)                     
2000,8.28,Chinese yuan   (CNY)                     
2001,8.28,Chinese yuan   (CNY)                     
2002,8.28,Chinese yuan   (CNY)                     
2003,8.28,Chinese yuan   (CNY)                     
2004,8.17,Chinese yuan   (CNY)                     
2005,8.07,Chinese yuan   (CNY)                     
2006,7.81,Chinese yuan   (CNY)                     
2007,7.32,Chinese yuan   (CNY)                     
2008,6.83,Chinese yuan   (CNY)                     
2009,6.83,Chinese yuan   (CNY)                     
2010,6.62,Chinese yuan   (CNY)                     
2011,6.30,Chinese yuan   (CNY)                     
2012,6.29,Chinese yuan   (CNY)                     
2013,6.10,Chinese yuan   (CNY)                     
2014,6.12,Chinese yuan   (CNY)                     
2015,6.49,Chinese yuan   (CNY)                     
2016,6.95,Chinese yuan   (CNY)                     
2017,6.51,Chinese yuan   (CNY)                     
2018,6.85,Chinese yuan   (CNY)                     
2019,6.99,Chinese yuan   (CNY)                     
2020,6.53,Chinese yuan   (CNY)                     
2000,2187.02,Colombian peso   (COP)                     
2001,2115.63,Colombian peso   (COP)                     
2002,2115.63,Colombian peso   (COP)                     
2003,2115.63,Colombian peso   (COP)                     
2004,2115.63,Colombian peso   (COP)                     
2005,2115.63,Colombian peso   (COP)                     
2006,2115.63,Colombian peso   (COP)                     
2007,2115.63,Colombian peso   (COP)                     
2008,2115.63,Colombian peso   (COP)                     
2009,2044.23,Colombian peso   (COP)                     
2010,1989.88,Colombian peso   (COP)                     
2011,1942.70,Colombian peso   (COP)                     
2012,1771.54,Colombian peso   (COP)                     
2013,1922.56,Colombian peso   (COP)                     
2014,2392.46,Colombian peso   (COP)                     
2015,3149.47,Colombian peso   (COP)                     
2016,3000.71,Colombian peso   (COP)                     
2017,3137.86,Colombian peso   (COP)                     
2018,3275.01,Colombian peso   (COP)                     
2019,3294.05,Colombian peso   (COP)                     
2020,3444.90,Colombian peso   (COP)                     
2000,36.26,Czech koruna   (CZK)                     
2001,36.26,Czech koruna   (CZK)                     
2002,30.96,Czech koruna   (CZK)                     
2003,25.65,Czech koruna   (CZK)                     
2004,25.12,Czech koruna   (CZK)                     
2005,24.59,Czech koruna   (CZK)                     
2006,20.88,Czech koruna   (CZK)                     
2007,18.08,Czech koruna   (CZK)                     
2008,19.35,Czech koruna   (CZK)                     
2009,18.37,Czech koruna   (CZK)                     
2010,18.99,Czech koruna   (CZK)                     
2011,19.94,Czech koruna   (CZK)                     
2012,19.07,Czech koruna   (CZK)                     
2013,19.91,Czech koruna   (CZK)                     
2014,22.83,Czech koruna   (CZK)                     
2015,24.82,Czech koruna   (CZK)                     
2016,26.07,Czech koruna   (CZK)                     
2017,21.29,Czech koruna   (CZK)                     
2018,22.51,Czech koruna   (CZK)                     
2019,22.76,Czech koruna   (CZK)                     
2020,21.68,Czech koruna   (CZK)                     
2000,8.02,Danish krone   (DKK)                     
2001,8.41,Danish krone   (DKK)                     
2002,7.08,Danish krone   (DKK)                     
2003,6.70,Danish krone   (DKK)                     
2004,6.70,Danish krone   (DKK)                     
2005,6.32,Danish krone   (DKK)                     
2006,5.66,Danish krone   (DKK)                     
2007,5.08,Danish krone   (DKK)                     
2008,5.34,Danish krone   (DKK)                     
2009,5.34,Danish krone   (DKK)                     
2010,5.61,Danish krone   (DKK)                     
2011,5.75,Danish krone   (DKK)                     
2012,5.66,Danish krone   (DKK)                     
2013,5.41,Danish krone   (DKK)                     
2014,6.23,Danish krone   (DKK)                     
2015,6.23,Danish krone   (DKK)                     
2016,7.05,Danish krone   (DKK)                     
2017,6.21,Danish krone   (DKK)                     
2018,6.52,Danish krone   (DKK)                     
2019,6.68,Danish krone   (DKK)                     
2020,6.11,Danish krone   (DKK)                     
2000,0.93,Euro   (EUR)                     
2001,0.99,Euro   (EUR)                     
2002,1.05,Euro   (EUR)                     
2003,1.26,Euro   (EUR)                     
2004,1.36,Euro   (EUR)                     
2005,1.18,Euro   (EUR)                     
2006,1.32,Euro   (EUR)                     
2007,1.47,Euro   (EUR)                     
2008,1.39,Euro   (EUR)                     
2009,1.44,Euro   (EUR)                     
2010,1.33,Euro   (EUR)                     
2011,1.29,Euro   (EUR)                     
2012,1.32,Euro   (EUR)                     
2013,1.38,Euro   (EUR)                     
2014,1.21,Euro   (EUR)                     
2015,1.09,Euro   (EUR)                     
2016,1.05,Euro   (EUR)                     
2017,1.20,Euro   (EUR)                     
2018,1.15,Euro   (EUR)                     
2019,1.12,Euro   (EUR)                     
2020,1.22,Euro   (EUR)                     
2000,46.75,Indian rupee   (INR)                     
2001,48.18,Indian rupee   (INR)                     
2002,48.03,Indian rupee   (INR)                     
2003,45.61,Indian rupee   (INR)                     
2004,43.58,Indian rupee   (INR)                     
2005,45.07,Indian rupee   (INR)                     
2006,44.23,Indian rupee   (INR)                     
2007,39.41,Indian rupee   (INR)                     
2008,48.45,Indian rupee   (INR)                     
2009,46.68,Indian rupee   (INR)                     
2010,44.90,Indian rupee   (INR)                     
2011,53.27,Indian rupee   (INR)                     
2012,54.85,Indian rupee   (INR)                     
2013,62.00,Indian rupee   (INR)                     
2014,63.33,Indian rupee   (INR)                     
2015,66.33,Indian rupee   (INR)                     
2016,67.95,Indian rupee   (INR)                     
2017,63.93,Indian rupee   (INR)                     
2018,69.98,Indian rupee   (INR)                     
2019,71.34,Indian rupee   (INR)                     
2020,73.81,Indian rupee   (INR)                     
2000,4.42,Israeli New Shekel   (ILS)                     
2001,4.42,Israeli New Shekel   (ILS)                     
2002,4.40,Israeli New Shekel   (ILS)                     
2003,4.38,Israeli New Shekel   (ILS)                     
2004,4.31,Israeli New Shekel   (ILS)                     
2005,4.60,Israeli New Shekel   (ILS)                     
2006,4.23,Israeli New Shekel   (ILS)                     
2007,3.85,Israeli New Shekel   (ILS)                     
2008,3.80,Israeli New Shekel   (ILS)                     
2009,3.78,Israeli New Shekel   (ILS)                     
2010,3.56,Israeli New Shekel   (ILS)                     
2011,3.82,Israeli New Shekel   (ILS)                     
2012,3.73,Israeli New Shekel   (ILS)                     
2013,3.48,Israeli New Shekel   (ILS)                     
2014,3.89,Israeli New Shekel   (ILS)                     
2015,3.90,Israeli New Shekel   (ILS)                     
2016,3.85,Israeli New Shekel   (ILS)                     
2017,3.47,Israeli New Shekel   (ILS)                     
2018,3.77,Israeli New Shekel   (ILS)                     
2019,3.46,Israeli New Shekel   (ILS)                     
2020,3.22,Israeli New Shekel   (ILS)                     
2000,114.90,Japanese yen   (JPY)                     
2001,116.44,Japanese yen   (JPY)                     
2002,116.44,Japanese yen   (JPY)                     
2003,116.44,Japanese yen   (JPY)                     
2004,116.44,Japanese yen   (JPY)                     
2005,117.97,Japanese yen   (JPY)                     
2006,118.95,Japanese yen   (JPY)                     
2007,100.20,Japanese yen   (JPY)                     
2008,100.20,Japanese yen   (JPY)                     
2009,100.20,Japanese yen   (JPY)                     
2010,81.45,Japanese yen   (JPY)                     
2011,77.72,Japanese yen   (JPY)                     
2012,86.55,Japanese yen   (JPY)                     
2013,105.30,Japanese yen   (JPY)                     
2014,111.05,Japanese yen   (JPY)                     
2015,111.05,Japanese yen   (JPY)                     
2016,116.80,Japanese yen   (JPY)                     
2017,112.90,Japanese yen   (JPY)                     
2018,110.83,Japanese yen   (JPY)                     
2019,109.12,Japanese yen   (JPY)                     
2020,103.63,Japanese yen   (JPY)                     
2000,1326.10,Korean won   (KRW)                     
2001,1326.10,Korean won   (KRW)                     
2002,1261.95,Korean won   (KRW)                     
2003,1197.80,Korean won   (KRW)                     
2004,1035.60,Korean won   (KRW)                     
2005,1013.00,Korean won   (KRW)                     
2006,929.60,Korean won   (KRW)                     
2007,938.20,Korean won   (KRW)                     
2008,1257.50,Korean won   (KRW)                     
2009,1167.60,Korean won   (KRW)                     
2010,1146.10,Korean won   (KRW)                     
2011,1153.30,Korean won   (KRW)                     
2012,1072.50,Korean won   (KRW)                     
2013,1055.60,Korean won   (KRW)                     
2014,1099.20,Korean won   (KRW)                     
2015,1172.00,Korean won   (KRW)                     
2016,1208.50,Korean won   (KRW)                     
2017,1071.40,Korean won   (KRW)                     
2018,1121.30,Korean won   (KRW)                     
2019,1160.90,Korean won   (KRW)                     
2020,1106.60,Korean won   (KRW)                     
2000,0.30,Kuwaiti dinar   (KWD)                     
2001,0.30,Kuwaiti dinar   (KWD)                     
2002,0.30,Kuwaiti dinar   (KWD)                     
2003,0.29,Kuwaiti dinar   (KWD)                     
2004,0.28,Kuwaiti dinar   (KWD)                     
2005,0.28,Kuwaiti dinar   (KWD)                     
2006,0.28,Kuwaiti dinar   (KWD)                     
2007,0.27,Kuwaiti dinar   (KWD)                     
2008,0.28,Kuwaiti dinar   (KWD)                     
2009,0.29,Kuwaiti dinar   (KWD)                     
2010,0.28,Kuwaiti dinar   (KWD)                     
2011,0.28,Kuwaiti dinar   (KWD)                     
2012,0.28,Kuwaiti dinar   (KWD)                     
2013,0.28,Kuwaiti dinar   (KWD)                     
2014,0.29,Kuwaiti dinar   (KWD)                     
2015,0.30,Kuwaiti dinar   (KWD)                     
2016,0.31,Kuwaiti dinar   (KWD)                     
2017,0.30,Kuwaiti dinar   (KWD)                     
2018,0.30,Kuwaiti dinar   (KWD)                     
2019,0.30,Kuwaiti dinar   (KWD)                     
2020,0.30,Kuwaiti dinar   (KWD)                     
2000,3.80,Malaysian ringgit   (MYR)                     
2001,3.80,Malaysian ringgit   (MYR)                     
2002,3.80,Malaysian ringgit   (MYR)                     
2003,3.80,Malaysian ringgit   (MYR)                     
2004,3.80,Malaysian ringgit   (MYR)                     
2005,3.78,Malaysian ringgit   (MYR)                     
2006,3.54,Malaysian ringgit   (MYR)                     
2007,3.31,Malaysian ringgit   (MYR)                     
2008,3.46,Malaysian ringgit   (MYR)                     
2009,3.42,Malaysian ringgit   (MYR)                     
2010,3.08,Malaysian ringgit   (MYR)                     
2011,3.18,Malaysian ringgit   (MYR)                     
2012,3.06,Malaysian ringgit   (MYR)                     
2013,3.29,Malaysian ringgit   (MYR)                     
2014,3.50,Malaysian ringgit   (MYR)                     
2015,4.29,Malaysian ringgit   (MYR)                     
2016,4.49,Malaysian ringgit   (MYR)                     
2017,4.06,Malaysian ringgit   (MYR)                     
2018,4.16,Malaysian ringgit   (MYR)                     
2019,4.11,Malaysian ringgit   (MYR)                     
2020,4.11,Malaysian ringgit   (MYR)                     
2000,26.09,Mauritian rupee   (MUR)                     
