Country,Year,Flows_to_Infrastructure,Code,Region,Sub_Region
Afghanistan,2018,469.75,AFG,Asia,Southern Asia
Albania,2018,363.75,ALB,Europe,Southern Europe
Algeria,2018,6.11,DZA,Africa,Northern Africa
Angola,2018,23.31,AGO,Africa,Sub-Saharan Africa
Antigua and Barbuda,2018,4.61,ATG,Americas,Latin America and the Caribbean
Argentina,2018,529.19,ARG,Americas,Latin America and the Caribbean
Armenia,2018,242.12,ARM,Asia,Western Asia
Azerbaijan,2018,794.27,AZE,Asia,Western Asia
Bangladesh,2018,2679.76,BGD,Asia,Southern Asia
Belarus,2018,166.58,BLR,Europe,Eastern Europe
Belize,2018,28.85,BLZ,Americas,Latin America and the Caribbean
Benin,2018,76.65,BEN,Africa,Sub-Saharan Africa
Bhutan,2018,45.44,BTN,Asia,Southern Asia
Bolivia,2018,289.99,BOL,Americas,Latin America and the Caribbean
Bosnia and Herzegovina,2018,266.47,BIH,Europe,Southern Europe
Botswana,2018,31.05,BWA,Africa,Sub-Saharan Africa
Brazil,2018,1738.19,BRA,Americas,Latin America and the Caribbean
Burkina Faso,2018,244.39,BFA,Africa,Sub-Saharan Africa
Burundi,2018,33.16,BDI,Africa,Sub-Saharan Africa
Cabo Verde,2018,43.34,CPV,Africa,Sub-Saharan Africa
Cambodia,2018,272.29,KHM,Asia,South-eastern Asia
Cameroon,2018,168.92,CMR,Africa,Sub-Saharan Africa
Central African Republic,2018,61.65,CAF,Africa,Sub-Saharan Africa
Chad,2018,27.33,TCD,Africa,Sub-Saharan Africa
China,2018,2591.18,CHN,Asia,Eastern Asia
Colombia,2018,337.42,COL,Americas,Latin America and the Caribbean
Comoros,2018,36.14,COM,Africa,Sub-Saharan Africa
Congo,2018,276.79,COG,Africa,Sub-Saharan Africa
Cook Islands,2018,9.75,COK,Oceania,Polynesia
Costa Rica,2018,196.88,CRI,Americas,Latin America and the Caribbean
Cote d'Ivoire,2018,271.14,CIV,Africa,Sub-Saharan Africa
Cuba,2018,14.61,CUB,Americas,Latin America and the Caribbean
Djibouti,2018,39.84,DJI,Africa,Sub-Saharan Africa
Dominica,2018,4.94,DMA,Americas,Latin America and the Caribbean
Dominican Republic,2018,352.33,DOM,Americas,Latin America and the Caribbean
Ecuador,2018,633.01,ECU,Americas,Latin America and the Caribbean
Egypt,2018,3913.07,EGY,Africa,Northern Africa
El Salvador,2018,62.84,SLV,Americas,Latin America and the Caribbean
Equatorial Guinea,2018,0.04,GNQ,Africa,Sub-Saharan Africa
Eritrea,2018,8.36,ERI,Africa,Sub-Saharan Africa
Eswatini,2018,29.27,SWZ,Africa,Sub-Saharan Africa
Ethiopia,2018,1075.24,ETH,Africa,Sub-Saharan Africa
Fiji,2018,18.88,FJI,Oceania,Melanesia
Gabon,2018,45.34,GAB,Africa,Sub-Saharan Africa
Gambia,2018,81.95,GMB,Africa,Sub-Saharan Africa
Georgia,2018,480.23,GEO,Asia,Western Asia
Ghana,2018,341.84,GHA,Africa,Sub-Saharan Africa
Grenada,2018,6.95,GRD,Americas,Latin America and the Caribbean
Guatemala,2018,234.03,GTM,Americas,Latin America and the Caribbean
Guinea,2018,109.79,GIN,Africa,Sub-Saharan Africa
Guinea-Bissau,2018,48.52,GNB,Africa,Sub-Saharan Africa
Guyana,2018,65.54,GUY,Americas,Latin America and the Caribbean
Haiti,2018,104.97,HTI,Americas,Latin America and the Caribbean
Honduras,2018,308.06,HND,Americas,Latin America and the Caribbean
India,2018,7150.04,IND,Asia,Southern Asia
Indonesia,2018,2592.83,IDN,Asia,South-eastern Asia
Iran,2018,7.06,IRN,Asia,Southern Asia
Iraq,2018,248.97,IRQ,Asia,Western Asia
Jamaica,2018,44.05,JAM,Americas,Latin America and the Caribbean
Jordan,2018,733.03,JOR,Asia,Western Asia
Kazakhstan,2018,299.51,KAZ,Asia,Central Asia
Kenya,2018,883.44,KEN,Africa,Sub-Saharan Africa
Kiribati,2018,33.16,KIR,Oceania,Micronesia
Korea,2018,1.51,KIR,Oceania,Micronesia
Kyrgyzstan,2018,122.24,KGZ,Asia,Central Asia
Laos,2018,154.41,LAO,Asia,South-eastern Asia
Lebanon,2018,487.91,LBN,Asia,Western Asia
Lesotho,2018,10.39,LSO,Africa,Sub-Saharan Africa
Liberia,2018,188.04,LBR,Africa,Sub-Saharan Africa
Libya,2018,6.23,LBY,Africa,Northern Africa
Madagascar,2018,131.43,MDG,Africa,Sub-Saharan Africa
Malawi,2018,263.44,MWI,Africa,Sub-Saharan Africa
Malaysia,2018,5.6,MYS,Asia,South-eastern Asia
Maldives,2018,87.59,MDV,Asia,Southern Asia
Mali,2018,147.2,MLI,Africa,Sub-Saharan Africa
Marshall Islands,2018,137.47,MHL,Oceania,Micronesia
Mauritania,2018,189.93,MRT,Africa,Sub-Saharan Africa
Mauritius,2018,64.29,MUS,Africa,Sub-Saharan Africa
Melanesia,2018,422.5,MYT,Africa,Sub-Saharan Africa
Mexico,2018,1013.83,MEX,Americas,Latin America and the Caribbean
Moldova,2018,134.55,MDA,Europe,Eastern Europe
Mongolia,2018,281.72,MNG,Asia,Eastern Asia
Montenegro,2018,171.14,MNE,Europe,Southern Europe
Montserrat,2018,11.11,MSR,Americas,Latin America and the Caribbean
Morocco,2018,956.27,MAR,Africa,Northern Africa
Mozambique,2018,315.03,MOZ,Africa,Sub-Saharan Africa
Myanmar,2018,452.48,MMR,Asia,South-eastern Asia
Namibia,2018,67.33,NAM,Africa,Sub-Saharan Africa
Nauru,2018,8.71,NRU,Oceania,Micronesia
Nepal,2018,334.49,NPL,Asia,Southern Asia
Nicaragua,2018,184.19,NIC,Americas,Latin America and the Caribbean
Niger,2018,163.11,NER,Africa,Sub-Saharan Africa
Nigeria,2018,844.94,NGA,Africa,Sub-Saharan Africa
Niue,2018,5.67,NIU,Oceania,Polynesia
Pakistan,2018,956.61,PAK,Asia,Southern Asia
Palau,2018,1.65,PLW,Oceania,Micronesia
Palestine,2018,72.87,PLW,Oceania,Micronesia
Panama,2018,288.04,PAN,Americas,Latin America and the Caribbean
Papua New Guinea,2018,301.35,PNG,Oceania,Melanesia
Paraguay,2018,295.39,PRY,Americas,Latin America and the Caribbean
Peru,2018,224.73,PER,Americas,Latin America and the Caribbean
Philippines,2018,644.32,PHL,Asia,South-eastern Asia
Rwanda,2018,436.93,RWA,Africa,Sub-Saharan Africa
Saint Lucia,2018,1.39,LCA,Americas,Latin America and the Caribbean
Saint Vincent and the Grenadines,2018,8.91,VCT,Americas,Latin America and the Caribbean
Samoa,2018,48.19,WSM,Oceania,Polynesia
Sao Tome and Principe,2018,9.61,STP,Africa,Sub-Saharan Africa
Senegal,2018,325.84,SEN,Africa,Sub-Saharan Africa
Serbia,2018,1018.66,SRB,Europe,Southern Europe
Sierra Leone,2018,117.45,SLE,Africa,Sub-Saharan Africa
Solomon Islands,2018,62.46,SLB,Oceania,Melanesia
Somalia,2018,28.79,SOM,Africa,Sub-Saharan Africa
South Africa,2018,406.03,ZAF,Africa,Sub-Saharan Africa
South Sudan,2018,31.72,SSD,Africa,Sub-Saharan Africa
Sri Lanka,2018,528.72,LKA,Asia,Southern Asia
Sudan,2018,6.53,SDN,Africa,Northern Africa
Suriname,2018,10.4,SUR,Americas,Latin America and the Caribbean
Syria,2018,0.71,SYR,Asia,Western Asia
Tajikistan,2018,220.62,TJK,Asia,Central Asia
Tanzania,2018,660.65,TZA,Africa,Sub-Saharan Africa
Thailand,2018,535.17,THA,Asia,South-eastern Asia
Timor-Leste,2018,56.94,TLS,Asia,South-eastern Asia
Togo,2018,60.61,TGO,Africa,Sub-Saharan Africa
Tokelau,2018,12.66,TKL,Oceania,Polynesia
Tonga,2018,32.97,TON,Oceania,Polynesia
Tunisia,2018,1022.66,TUN,Africa,Northern Africa
Turkey,2018,2110.81,TUR,Asia,Western Asia
Turkmenistan,2018,4.53,TKM,Asia,Central Asia
Tuvalu,2018,3.39,TUV,Oceania,Polynesia
Uganda,2018,408.09,UGA,Africa,Sub-Saharan Africa
Ukraine,2018,746.98,UKR,Europe,Eastern Europe
Uzbekistan,2018,877.27,UZB,Asia,Central Asia
Vanuatu,2018,39.82,VUT,Oceania,Melanesia
Venezuela,2018,0.88,VEN,Americas,Latin America and the Caribbean
Vietnam,2018,1427.12,VNM,Asia,South-eastern Asia
Wallis and Futuna Islands,2018,16.97,WLF,Oceania,Polynesia
Yemen,2018,429.91,YEM,Asia,Western Asia
Zambia,2018,134.33,ZMB,Africa,Sub-Saharan Africa
Zimbabwe,2018,34.33,ZWE,Africa,Sub-Saharan Africa
