Year,Decile_1,Decile_1_2,Decile_2,Decile_2_2,Decile_3,Decile_3_2,Decile_4,Decile_4_2,Decile_5,Decile_5_2,Decile_6,Decile_6_2,Decile_7,Decile_7_2,Decile_8,Decile_8_2,Decile_9,Decile_9_2,Decile_10,Decile_10_2
1980,0.12,0.12,0.77,0.89,1.26,2.15,1.66,3.81,2.35,6.16,3.68,9.84,6.64,16.48,11.92,28.40,19.62,48.02,51.98,100.00
1981,0.12,0.12,0.80,0.92,1.30,2.22,1.72,3.94,2.42,6.36,3.74,10.10,6.56,16.66,11.80,28.46,19.61,48.07,51.93,100.00
1982,0.12,0.12,0.83,0.95,1.36,2.31,1.80,4.11,2.52,6.63,3.86,10.49,6.59,17.08,11.80,28.88,19.69,48.57,51.43,100.00
1983,0.12,0.12,0.80,0.92,1.36,2.28,1.82,4.10,2.51,6.61,3.83,10.44,6.55,16.99,11.77,28.76,19.73,48.49,51.51,100.00
1984,0.12,0.12,0.82,0.94,1.39,2.33,1.87,4.20,2.56,6.76,3.84,10.60,6.45,17.05,11.55,28.60,19.50,48.10,51.90,100.00
1985,0.12,0.12,0.81,0.93,1.40,2.33,1.88,4.21,2.58,6.79,3.84,10.63,6.40,17.03,11.47,28.50,19.47,47.97,52.03,100.00
1986,0.12,0.12,0.80,0.92,1.38,2.30,1.85,4.15,2.59,6.74,3.90,10.64,6.35,16.99,11.35,28.34,19.40,47.74,52.26,100.00
1987,0.12,0.12,0.80,0.92,1.38,2.30,1.88,4.18,2.62,6.80,3.94,10.74,6.32,17.06,11.18,28.24,19.14,47.38,52.62,100.00
1988,0.11,0.11,0.79,0.90,1.35,2.25,1.85,4.10,2.60,6.70,3.87,10.57,6.25,16.82,11.06,27.88,19.05,46.93,53.07,100.00
1989,0.11,0.11,0.79,0.90,1.35,2.25,1.83,4.08,2.57,6.65,3.85,10.50,6.16,16.66,10.96,27.62,18.98,46.60,53.40,100.00
1990,0.11,0.11,0.80,0.91,1.36,2.27,1.83,4.10,2.57,6.67,3.81,10.48,5.99,16.47,10.73,27.20,18.87,46.07,53.93,100.00
1991,0.11,0.11,0.80,0.91,1.35,2.26,1.85,4.11,2.60,6.71,3.87,10.58,6.00,16.58,10.67,27.25,18.91,46.16,53.84,100.00
1992,0.11,0.11,0.79,0.90,1.36,2.26,1.86,4.12,2.63,6.75,3.90,10.65,6.02,16.67,10.11,26.78,18.47,45.25,54.75,100.00
1993,0.11,0.11,0.79,0.90,1.36,2.26,1.88,4.14,2.65,6.79,3.95,10.74,6.04,16.78,9.92,26.70,18.23,44.93,55.07,100.00
1994,0.11,0.11,0.78,0.89,1.35,2.24,1.88,4.12,2.66,6.78,3.91,10.69,5.89,16.58,9.66,26.24,18.09,44.33,55.67,100.00
1995,0.11,0.11,0.79,0.90,1.39,2.29,1.96,4.25,2.72,6.97,3.92,10.89,5.86,16.75,9.55,26.30,17.88,44.18,55.82,100.00
1996,0.10,0.10,0.77,0.87,1.40,2.27,1.98,4.25,2.71,6.96,3.88,10.84,5.76,16.60,9.41,26.01,17.73,43.74,56.26,100.00
1997,0.11,0.11,0.80,0.91,1.43,2.34,2.01,4.35,2.75,7.10,3.90,11.00,5.73,16.73,9.34,26.07,17.53,43.60,56.40,100.00
1998,0.11,0.11,0.81,0.92,1.43,2.35,1.99,4.34,2.70,7.04,3.81,10.85,5.59,16.44,9.17,25.61,17.41,43.02,56.98,100.00
1999,0.12,0.12,0.81,0.93,1.42,2.35,1.98,4.33,2.68,7.01,3.75,10.76,5.54,16.30,9.08,25.38,17.24,42.62,57.38,100.00
2000,0.11,0.11,0.80,0.91,1.41,2.32,1.96,4.28,2.68,6.96,3.80,10.76,5.60,16.36,9.09,25.45,17.12,42.57,57.43,100.00
2001,0.12,0.12,0.79,0.91,1.41,2.32,1.98,4.30,2.72,7.02,3.85,10.87,5.68,16.55,9.16,25.71,17.14,42.85,57.15,100.00
2002,0.12,0.12,0.80,0.92,1.42,2.34,1.98,4.32,2.72,7.04,3.89,10.93,5.77,16.70,9.36,26.06,17.19,43.25,56.75,100.00
2003,0.12,0.12,0.80,0.92,1.40,2.32,1.99,4.31,2.73,7.04,3.90,10.94,5.81,16.75,9.36,26.11,17.09,43.20,56.80,100.00
2004,0.12,0.12,0.81,0.93,1.42,2.35,2.02,4.37,2.78,7.15,3.97,11.12,5.91,17.03,9.44,26.47,16.96,43.43,56.57,100.00
2005,0.12,0.12,0.80,0.92,1.40,2.32,2.00,4.32,2.80,7.12,4.01,11.13,5.99,17.12,9.54,26.66,16.83,43.49,56.51,100.00
2006,0.12,0.12,0.80,0.92,1.42,2.34,2.03,4.37,2.85,7.22,4.08,11.30,6.05,17.35,9.56,26.91,16.67,43.58,56.42,100.00
2007,0.12,0.12,0.81,0.93,1.44,2.37,2.07,4.44,2.92,7.36,4.18,11.54,6.19,17.73,9.67,27.40,16.64,44.04,55.96,100.00
2008,0.12,0.12,0.84,0.96,1.48,2.44,2.14,4.58,3.02,7.60,4.28,11.88,6.33,18.21,9.82,28.03,16.63,44.66,55.34,100.00
2009,0.12,0.12,0.87,0.99,1.51,2.50,2.21,4.71,3.15,7.86,4.46,12.32,6.52,18.84,9.93,28.77,16.67,45.44,54.56,100.00
2010,0.12,0.12,0.86,0.98,1.51,2.49,2.21,4.70,3.18,7.88,4.52,12.40,6.65,19.05,10.06,29.11,16.73,45.84,54.16,100.00
2011,0.12,0.12,0.87,0.99,1.52,2.51,2.24,4.75,3.22,7.97,4.56,12.53,6.65,19.18,10.04,29.22,16.63,45.85,54.15,100.00
2012,0.12,0.12,0.89,1.01,1.55,2.56,2.28,4.84,3.30,8.14,4.70,12.84,6.81,19.65,10.20,29.85,16.63,46.48,53.52,100.00
2013,0.13,0.13,0.89,1.02,1.55,2.57,2.31,4.88,3.31,8.19,4.68,12.87,6.89,19.76,10.32,30.08,16.66,46.74,53.26,100.00
2014,0.13,0.13,0.89,1.02,1.57,2.59,2.32,4.91,3.35,8.26,4.76,13.02,6.94,19.96,10.36,30.32,16.66,46.98,53.02,100.00
2015,0.13,0.13,0.91,1.04,1.59,2.63,2.35,4.98,3.39,8.37,4.79,13.16,6.96,20.12,10.39,30.51,16.69,47.20,52.80,100.00
2016,0.13,0.13,0.92,1.05,1.63,2.68,2.40,5.08,3.44,8.52,4.84,13.36,7.01,20.37,10.43,30.80,16.67,47.47,52.53,100.00
2017,0.13,0.13,0.91,1.04,1.65,2.69,2.42,5.11,3.46,8.57,4.87,13.44,7.03,20.47,10.50,30.97,16.77,47.74,52.26,100.00
2018,0.13,0.13,0.92,1.05,1.67,2.72,2.45,5.17,3.48,8.65,4.88,13.53,7.04,20.57,10.50,31.07,16.75,47.82,52.18,100.00
2019,0.13,0.13,0.92,1.05,1.67,2.72,2.44,5.16,3.47,8.63,4.89,13.52,7.03,20.55,10.51,31.06,16.86,47.92,52.08,100.00
