Country,Code,Unemployment,PCAP_Inc,Region,Sub_Region,,HCI_2020
Angola,AGO,7.7,6965.51,Africa,Sub-Saharan Africa,,0.36
Albania,ALB,11.7,14224.1,Europe,Southern Europe,,0.63
Argentina,ARG,11.67,23040.29,Americas,Latin America and the Caribbean,,0.6
Armenia,ARM,20.21,14257.96,Asia,Western Asia,,0.58
Azerbaijan,AZE,6.27,15039.81,Asia,Western Asia,,0.58
Burundi,BDI,0.8,784.93,Africa,Sub-Saharan Africa,,0.39
Burkina Faso,BFA,4.96,2274.72,Africa,Sub-Saharan Africa,,0.38
Bangladesh,BGD,5.3,4964.09,Asia,Southern Asia,,0.46
Bulgaria,BGR,5.71,24579.12,Europe,Eastern Europe,,0.61
Bosnia and Herzegovina,BIH,16.85,15817.16,Europe,Southern Europe,,0.58
Brunei Darussalam,BRN,8.37,64847.65,Asia,South-eastern Asia,,0.63
Bhutan,BTN,3.74,12355.79,Asia,Southern Asia,,0.48
Central African Republic,CAF,4.33,986.68,Africa,Sub-Saharan Africa,,0.29
China,CHN,5,16804.43,Asia,Eastern Asia,,0.65
Cote d'Ivoire,CIV,3.5,5443.22,Africa,Sub-Saharan Africa,,0.38
Cameroon,CMR,3.62,3803.46,Africa,Sub-Saharan Africa,,0.4
"Congo, Dem. Rep.",COD,4.55,1146.54,Africa,Sub-Saharan Africa,,0.37
"Congo, Rep.",COG,10.27,3835.66,Africa,Sub-Saharan Africa,,0.42
Colombia,COL,15.44,15630.08,Americas,Latin America and the Caribbean,,0.6
Comoros,COM,8.43,3194.9,Africa,Sub-Saharan Africa,,0.4
Dominican Republic,DOM,8.9,19227.72,Americas,Latin America and the Caribbean,,0.5
Algeria,DZA,12.83,12019.93,Africa,Northern Africa,,0.53
Ecuador,ECU,6.23,11878.72,Americas,Latin America and the Caribbean,,0.59
"Egypt, Arab Rep.",EGY,10.45,12283.81,Africa,Northern Africa,,0.49
Ethiopia,ETH,2.79,2319.71,Africa,Sub-Saharan Africa,,0.38
Fiji,FJI,4.79,14289.96,Oceania,Melanesia,,0.51
Gabon,GAB,20.47,15611.65,Africa,Sub-Saharan Africa,,0.46
Ghana,GHA,4.53,5652.15,Africa,Sub-Saharan Africa,,0.45
Guinea,GIN,4.35,2675.46,Africa,Sub-Saharan Africa,,0.37
"Gambia, The",GMB,9.64,2321.24,Africa,Sub-Saharan Africa,,0.42
Guatemala,GTM,4.65,9019.69,Americas,Latin America and the Caribbean,,0.46
Guyana,GUY,15.82,13661.28,Americas,Latin America and the Caribbean,,0.5
Honduras,HND,9.39,5981.45,Americas,Latin America and the Caribbean,,0.48
Haiti,HTI,14.5,3034.01,Americas,Latin America and the Caribbean,,0.45
Indonesia,IDN,4.11,12334.92,Asia,South-eastern Asia,,0.54
India,IND,7.11,6996.56,Asia,Southern Asia,,0.49
Iraq,IRQ,13.74,11362.69,Asia,Western Asia,,0.41
Jamaica,JAM,8.4,10193.47,Americas,Latin America and the Caribbean,,0.53
Kazakhstan,KAZ,6.05,27517.94,Asia,Central Asia,,0.63
Kenya,KEN,2.98,4521.48,Africa,Sub-Saharan Africa,,0.55
Kyrgyz Republic,KGZ,7.89,5486.16,Asia,Central Asia,,0.6
Cambodia,KHM,0.31,4583.02,Asia,South-eastern Asia,,0.49
Lao PDR,LAO,0.95,8172.73,Asia,South-eastern Asia,,0.46
Liberia,LBR,3.3,1491,Africa,Sub-Saharan Africa,,0.32
St. Lucia,LCA,17.13,16132.41,Americas,Latin America and the Caribbean,,0.6
Sri Lanka,LKA,4.84,13656.84,Asia,Southern Asia,,0.6
Lesotho,LSO,24.65,2824.09,Africa,Sub-Saharan Africa,,0.4
Morocco,MAR,10.15,7826.17,Africa,Northern Africa,,0.5
Moldova,MDA,4.71,13598.26,Europe,Eastern Europe,,0.58
Madagascar,MDG,1.92,1719.91,Africa,Sub-Saharan Africa,,0.39
Mexico,MEX,4.71,20447.89,Americas,Latin America and the Caribbean,,0.61
North Macedonia,MKD,18.4,17583.44,Europe,Southern Europe,,0.56
Mali,MLI,7.5,2424.33,Africa,Sub-Saharan Africa,,0.32
Myanmar,MMR,1.79,5369.71,Asia,South-eastern Asia,,0.48
Montenegro,MNE,15.86,23343.99,Europe,Southern Europe,,0.63
Mongolia,MNG,4.33,12861.84,Asia,Eastern Asia,,0.61
Mozambique,MOZ,3.39,1338.1,Africa,Sub-Saharan Africa,,0.36
Mauritania,MRT,10.66,5427.06,Africa,Sub-Saharan Africa,,0.38
Malawi,MWI,5.99,1106.62,Africa,Sub-Saharan Africa,,0.41
Malaysia,MYS,4.55,29619.69,Asia,South-eastern Asia,,0.61
Namibia,NAM,20.35,10063.65,Africa,Sub-Saharan Africa,,0.45
Niger,NER,0.69,1278.7,Africa,Sub-Saharan Africa,,0.32
Nigeria,NGA,9.01,5362.76,Africa,Sub-Saharan Africa,,0.36
Nicaragua,NIC,5.82,5646.4,Americas,Latin America and the Caribbean,,0.51
Nepal,NPL,4.44,3567.99,Asia,Southern Asia,,0.5
Pakistan,PAK,4.65,4898.05,Asia,Southern Asia,,0.41
Peru,PER,6.24,13416.44,Americas,Latin America and the Caribbean,,0.61
Philippines,PHL,3.36,9302.39,Asia,South-eastern Asia,,0.52
Papua New Guinea,PNG,2.74,4547.56,Oceania,Melanesia,,0.43
Paraguay,PRY,7.61,13246.46,Americas,Latin America and the Caribbean,,0.53
West Bank and Gaza,PSE,27.35,6495.21,Asia,Western Asia,,0.58
Rwanda,RWA,1.35,2325.41,Africa,Sub-Saharan Africa,,0.38
Sudan,SDN,17.71,4122.53,Africa,Northern Africa,,0.38
Senegal,SEN,7.1,3545.1,Africa,Sub-Saharan Africa,,0.42
Solomon Islands,SLB,0.79,2780.64,Oceania,Melanesia,,0.42
Sierra Leone,SLE,4.6,1794.31,Africa,Sub-Saharan Africa,,0.36
El Salvador,SLV,6.98,9164.35,Americas,Latin America and the Caribbean,,0.55
Serbia,SRB,9.08,18929.91,Europe,Southern Europe,,0.68
Eswatini,SWZ,23.4,9003.36,Africa,Sub-Saharan Africa,,0.37
Chad,TCD,2.26,1649.53,Africa,Sub-Saharan Africa,,0.3
Togo,TGO,4.05,1667.3,Africa,Sub-Saharan Africa,,0.43
Thailand,THA,1.02,19276.9,Asia,South-eastern Asia,,0.61
Tajikistan,TJK,7.5,3529.31,Asia,Central Asia,,0.5
Timor-Leste,TLS,5.06,3709.81,Asia,South-eastern Asia,,0.45
Tonga,TON,4.37,6665.75,Oceania,Polynesia,,0.53
Tunisia,TUN,16.69,11231.57,Africa,Northern Africa,,0.52
Turkey,TUR,13.92,27318.43,Asia,Western Asia,,0.65
Tanzania,TZA,2.16,2770.68,Africa,Sub-Saharan Africa,,0.39
Uganda,UGA,2.44,2284.27,Africa,Sub-Saharan Africa,,0.38
Uzbekistan,UZB,5.97,7308.48,Asia,Central Asia,,0.62
Vietnam,VNM,2.27,8397.02,Asia,South-eastern Asia,,0.69
Vanuatu,VUT,1.95,3292.54,Oceania,Melanesia,,0.45
Samoa,WSM,8.87,6795.68,Oceania,Polynesia,,0.55
South Africa,ZAF,28.74,13034.17,Africa,Sub-Saharan Africa,,0.43
Zambia,ZMB,12.17,3624.02,Africa,Sub-Saharan Africa,,0.4
Zimbabwe,ZWE,5.73,2961.45,Africa,Sub-Saharan Africa,,0.47
